Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Team,DRB
80,80,2019-04-07,@,TOR,L,109,117,41,0.574074074074074,0.3456790123456789,13,0.4130434782608695,0.5269058295964126,14,0.33333333333333326,0.6431478968792401,0.5000000000000001,55,0.576923076923077,0.25,0.10526315789473684,0.34782608695652173,0.44827586206896547,,39,87,0.448,16,41,0.39,23,27,0.852,4,47,26,7,5,11,17,MIA,0.7586206896551725
81,81,2019-04-09,,PHI,W,122,99,46,0.33333333333333326,0.7129629629629631,13,0.26086956521739124,0.7488789237668163,17,0.4285714285714285,0.6458616010854816,0.25,44,0.6538461538461539,0.30000000000000004,0.5263157894736842,0.4782608695652174,0.3103448275862069,,40,98,0.408,5,25,0.2,14,16,0.875,11,46,22,11,0,14,19,MIA,0.5517241379310344
82,82,2019-04-10,@,BRK,L,94,113,38,0.537037037037037,0.2777777777777778,8,0.5652173913043478,0.10762331838565026,10,0.23809523809523805,0.548168249660787,0.30000000000000004,54,0.3846153846153847,0.45,0.21052631578947367,0.4782608695652174,0.10344827586206895,,43,114,0.377,21,58,0.362,6,7,0.857,20,68,29,7,3,12,13,MIA,0.8620689655172414
1,1,2018-10-17,@,HOU,W,131,112,52,0.537037037037037,0.7191358024691358,10,0.21739130434782605,0.5672645739910316,17,0.40476190476190466,0.6919945725915875,0.6000000000000001,54,0.923076923076923,0.4,0.15789473684210525,0.3913043478260869,0.5517241379310345,,39,92,0.424,16,48,0.333,18,24,0.75,8,37,21,8,7,11,22,NOP,0.6551724137931035
2,2,2018-10-19,,SAC,W,149,129,56,0.4814814814814814,0.898148148148148,16,0.34782608695652173,0.8273542600896864,21,0.6666666666666666,0.5061058344640434,0.5000000000000001,52,0.8846153846153847,0.30000000000000004,0.21052631578947367,0.5652173913043478,0.5517241379310345,,50,96,0.521,10,25,0.4,19,26,0.731,9,39,24,6,2,13,26,NOP,0.6551724137931035
3,3,2018-10-23,,LAC,W,116,109,40,0.4444444444444444,0.40740740740740733,6,0.19565217391304346,0.2309417040358745,30,0.8333333333333333,0.66078697421981,0.5000000000000001,48,0.3846153846153847,0.6000000000000001,0.42105263157894735,0.21739130434782608,0.5172413793103448,,41,87,0.471,5,20,0.25,22,27,0.815,9,47,18,5,4,16,26,NOP,0.5172413793103449
4,4,2018-10-26,,BRK,W,117,115,44,0.537037037037037,0.46604938271604934,9,0.17391304347826086,0.547085201793722,20,0.5,0.6865671641791045,0.65,46,0.42307692307692313,0.55,0.5789473684210527,0.34782608695652173,0.37931034482758624,,43,98,0.439,19,40,0.475,10,15,0.667,16,54,26,6,8,18,22,NOP,0.34482758620689646
5,5,2018-10-27,,UTA,L,111,132,40,0.4814814814814814,0.37962962962962965,9,0.4130434782608695,0.2645739910313902,22,0.5714285714285714,0.6729986431478969,0.45000000000000007,40,0.3846153846153847,0.2,0.2631578947368421,0.5652173913043478,0.7931034482758621,,46,88,0.523,10,32,0.313,30,37,0.811,6,43,32,7,7,13,26,NOP,0.27586206896551724
6,6,2018-10-29,@,DEN,L,111,116,43,0.2407407407407407,0.697530864197531,11,0.19565217391304346,0.6973094170403589,14,0.3571428571428571,0.592944369063772,0.25,44,0.6153846153846155,0.4,0.2631578947368421,0.8260869565217391,0.5517241379310345,,42,93,0.452,11,35,0.314,21,23,0.913,9,41,28,14,5,13,17,NOP,0.5517241379310344
7,7,2018-10-31,@,GSW,L,121,131,44,0.42592592592592604,0.5555555555555555,12,0.4347826086956521,0.43946188340807185,21,0.5238095238095237,0.6987788331071914,0.5000000000000001,42,0.46153846153846156,0.4,0.10526315789473684,0.5217391304347826,0.5862068965517242,,47,89,0.528,16,32,0.5,21,30,0.7,12,46,39,10,4,17,24,NOP,0.31034482758620696
8,8,2018-11-01,@,POR,L,119,132,40,0.462962962962963,0.3950617283950616,8,0.30434782608695654,0.2892376681614351,31,0.7619047619047619,0.7801899592944368,0.6000000000000001,44,0.42307692307692313,0.35000000000000003,0.15789473684210525,0.3913043478260869,0.5172413793103448,,44,87,0.506,18,35,0.514,26,31,0.839,8,46,26,4,4,14,30,NOP,0.31034482758620696
9,9,2018-11-03,@,SAS,L,95,109,36,0.14814814814814814,0.5246913580246914,6,0.13043478260869562,0.3116591928251122,17,0.5952380952380951,0.4124830393487109,0.20000000000000004,48,0.3846153846153847,0.15000000000000002,0.42105263157894735,0.5652173913043478,0.41379310344827586,,45,96,0.469,8,23,0.348,11,14,0.786,8,43,29,8,4,9,21,NOP,0.7241379310344828
10,10,2018-11-05,@,OKC,L,116,122,41,0.2777777777777777,0.5864197530864198,9,0.30434782608695654,0.36547085201793733,25,0.5952380952380951,0.7734056987788331,0.45000000000000007,45,0.576923076923077,0.4,0.2631578947368421,0.7391304347826086,0.5862068965517242,,45,93,0.484,10,27,0.37,22,31,0.71,9,41,26,15,3,12,23,NOP,0.4482758620689654
11,11,2018-11-07,,CHI,W,107,98,42,0.462962962962963,0.4598765432098765,11,0.32608695652173914,0.4932735426008969,12,0.2857142857142857,0.6010854816824965,0.45000000000000007,55,0.7692307692307693,0.25,0.5263157894736842,0.5217391304347826,0.3103448275862069,,38,96,0.396,9,31,0.29,13,17,0.765,7,46,18,9,7,11,16,NOP,0.793103448275862
12,12,2018-11-10,,PHO,W,119,99,42,0.3148148148148149,0.5864197530864198,11,0.21739130434782605,0.6569506726457399,24,0.5714285714285714,0.7666214382632293,0.7000000000000001,54,0.6153846153846155,0.35000000000000003,0.3684210526315789,0.6521739130434782,0.3103448275862069,,35,86,0.407,10,36,0.278,19,20,0.95,10,37,16,10,7,14,27,NOP,0.5862068965517241
13,13,2018-11-12,@,TOR,W,126,110,54,0.5555555555555556,0.7623456790123458,10,0.26086956521739124,0.5,8,0.1904761904761905,0.4776119402985074,0.6000000000000001,54,0.6923076923076924,0.1,0.21052631578947367,0.4347826086956521,0.37931034482758624,,39,97,0.402,13,45,0.289,19,22,0.864,13,43,22,9,5,10,20,NOP,0.6551724137931035
