season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2020,5,2020-10-11,1:00 PM,False,Panthers,Falcons,23,16,24,21,18,11,5,10,1,0,6,12,6,13,0,0,1,1,63,63,9,9,437,373,27,36,313,21,37,207,0,0,2,19,27,124,24,166,4,25,3,40,1,2,0,2,0,0,0,1,0,0,33:05,26:55
2020,5,2020-10-11,1:00 PM,False,Eagles,Steelers,29,38,20,25,14,13,4,7,2,5,10,14,11,15,0,1,0,0,57,67,10,10,336,367,21,36,242,27,34,231,5,34,1,8,16,94,32,136,9,84,8,86,3,3,3,3,0,1,2,0,0,0,25:17,34:43
2020,5,2020-10-11,4:05 PM,False,Dolphins,49ers,43,17,22,19,12,8,6,7,4,4,4,12,2,10,2,2,0,2,63,59,12,11,436,259,22,28,342,16,35,128,2,8,5,43,33,94,19,131,7,69,7,75,3,6,2,3,0,1,0,2,0,0,36:53,23:07
2020,5,2020-10-11,4:25 PM,False,Colts,Browns,23,32,15,22,10,15,4,7,1,0,4,11,10,17,1,1,1,1,52,72,11,9,308,385,21,33,240,22,38,261,1,3,1,4,18,68,33,124,5,34,2,10,1,4,2,4,0,0,2,2,1,1,25:15,34:45
2020,5,2020-10-11,4:25 PM,False,Giants,Cowboys,34,37,20,28,11,15,7,9,2,4,7,13,5,9,0,0,0,0,62,64,10,10,300,402,20,33,211,24,33,276,2,11,2,12,27,89,29,126,8,81,3,25,2,3,3,5,1,1,0,1,2,2,32:22,27:38
2020,5,2020-10-11,8:20 PM,False,Vikings,Seahawks,26,27,31,18,17,12,12,6,2,0,6,14,0,7,2,3,2,2,83,52,11,11,449,314,27,39,248,20,32,190,3,1,4,27,41,201,16,124,6,55,3,25,3,4,3,3,1,0,1,1,0,0,39:28,20:32
2020,5,2020-10-12,8:15 PM,False,Chargers,Saints,27,30,19,23,12,17,5,6,2,0,8,17,5,15,0,1,0,0,69,75,14,13,350,408,20,34,239,33,48,313,3,25,2,12,32,111,25,95,1,10,5,60,3,3,2,3,0,0,0,1,0,0,30:42,35:01
2020,5,2020-10-13,7:00 PM,False,Bills,Titans,16,42,23,25,16,14,7,9,0,2,13,17,6,10,0,0,1,1,69,62,10,9,370,334,29,46,275,21,28,195,1,10,0,0,22,95,34,139,10,56,6,46,2,2,6,6,1,0,2,0,0,0,32:24,27:36
2020,6,2020-10-18,1:00 PM,False,Browns,Steelers,7,38,12,18,8,5,2,12,2,1,1,12,5,14,0,3,2,2,54,62,12,12,220,277,15,28,145,15,23,148,4,20,2,20,22,75,37,129,7,55,6,45,1,1,3,4,0,0,2,0,0,2,25:54,34:06
2020,6,2020-10-18,1:00 PM,False,Lions,Jaguars,34,16,25,16,9,11,12,3,4,2,3,12,7,13,2,2,0,2,70,61,11,11,403,275,19,31,223,25,44,231,0,0,1,12,39,180,16,44,7,60,5,56,4,5,2,5,0,1,1,1,0,0,35:57,24:03
2020,6,2020-10-18,1:00 PM,False,Bears,Panthers,23,16,22,23,14,8,5,8,3,7,7,14,3,13,0,0,1,2,64,62,11,11,261,303,23,39,198,16,29,191,0,0,4,25,25,63,29,112,10,92,8,69,2,4,1,3,0,1,1,2,0,0,28:54,31:06
2020,6,2020-10-18,1:00 PM,False,Ravens,Eagles,30,28,17,19,10,10,7,6,0,3,6,16,3,12,0,0,1,3,67,64,14,14,355,364,16,27,173,21,40,170,3,13,6,43,37,182,18,194,12,132,3,20,2,3,3,3,0,1,0,0,0,1,36:30,23:30
2020,6,2020-10-18,1:00 PM,False,Texans,Titans,36,42,25,31,17,20,6,9,2,2,7,14,6,10,3,3,0,0,67,70,11,11,412,607,28,38,320,30,41,344,2,15,2,22,27,92,27,263,4,46,7,73,4,4,4,6,0,1,0,1,0,0,31:40,31:50
2020,6,2020-10-18,1:00 PM,False,Broncos,Patriots,18,12,15,14,7,9,7,5,1,0,4,14,4,13,0,0,1,2,63,56,11,11,299,288,10,24,164,19,27,171,2,25,4,24,37,135,25,117,2,20,1,4,0,2,1,2,0,1,2,2,0,0,32:31,27:29
2020,6,2020-10-18,1:00 PM,False,Falcons,Vikings,40,23,24,19,17,14,5,3,2,2,9,17,3,10,3,3,1,2,79,50,12,12,462,365,30,40,363,24,36,333,2,8,1,10,37,99,13,32,5,25,3,30,2,3,2,3,1,0,0,3,0,0,40:07,19:53
2020,6,2020-10-18,1:00 PM,False,Bengals,Colts,27,31,22,23,14,18,6,5,2,0,8,17,7,11,2,2,0,0,73,60,11,11,398,430,25,39,300,29,44,371,2,13,1,0,32,98,15,59,6,20,6,55,3,3,4,4,0,1,1,1,0,0,34:28,25:32
